col0,col1
Milano Falcons,Italy
Alessandria Centurions,Italy
Florence Apaches,Italy
Alfieri Asti,Italy
Taranto Dolphins,Italy
Gallarate Kings,Italy
Pordenone Fighters,Italy
Oulu Northern Lights,Finland
Luxembourg Steelers of Dudelange,Luxembourg
Brussels Raiders,Belgium
Waterloo Warriors,Belgium
Leuven Lions,Belgium
Puurs Titans,Belgium
Ostend Pirates,Belgium
Izegem Tribes,Belgium
Wisconsin–Whitewater Warhawks football,United States of America
Washington and Lee Generals football,United States of America
